feature_index,meaning,block_type,importance_impurity
0,Ag__count,species_block,4.200155244188134e-07
1,Ag__mean__magmom,species_block,5.362368923511675e-07
2,Ag__mean__OFM_component_0,species_block,5.761896222432236e-07
3,Ag__mean__OFM_component_1,species_block,0.0
4,Ag__mean__OFM_component_2,species_block,0.0
5,Ag__mean__OFM_component_3,species_block,0.0
6,Ag__mean__OFM_component_4,species_block,0.0
7,Ag__mean__OFM_component_5,species_block,0.0
8,Ag__mean__OFM_component_6,species_block,0.0
9,Ag__mean__OFM_component_7,species_block,0.0
10,Ag__mean__OFM_component_8,species_block,0.0
11,Ag__mean__OFM_component_9,species_block,0.0
12,Ag__mean__OFM_component_10,species_block,0.0
13,Ag__mean__OFM_component_11,species_block,0.0
14,Ag__mean__OFM_component_12,species_block,0.0
15,Ag__mean__OFM_component_13,species_block,0.0
16,Ag__mean__OFM_component_14,species_block,0.0
17,Ag__mean__OFM_component_15,species_block,0.0
18,Ag__mean__OFM_component_16,species_block,0.0
19,Ag__mean__OFM_component_17,species_block,3.3417312308142166e-07
20,Ag__mean__OFM_component_18,species_block,0.0
21,Ag__mean__OFM_component_19,species_block,0.0
22,Ag__mean__OFM_component_20,species_block,0.0
23,Ag__mean__OFM_component_21,species_block,0.0
24,Ag__mean__OFM_component_22,species_block,0.0
25,Ag__mean__OFM_component_23,species_block,0.0
26,Ag__mean__OFM_component_24,species_block,0.0
27,Ag__mean__OFM_component_25,species_block,0.0
28,Ag__mean__OFM_component_26,species_block,0.0
29,Ag__mean__OFM_component_27,species_block,0.0
30,Ag__mean__OFM_component_28,species_block,0.0
31,Ag__mean__OFM_component_29,species_block,0.0
32,Ag__mean__OFM_component_30,species_block,0.0
33,Ag__mean__OFM_component_31,species_block,0.0
34,Ag__mean__atomic_mass_norm,species_block,4.285920886951038e-07
35,Ag__mean__atomic_number_norm,species_block,3.6743149361745866e-07
36,Ag__mean__atomic_radius_norm,species_block,4.013276857330264e-07
37,Ag__mean__electron_affinity_norm,species_block,3.488824899786629e-07
38,Ag__std__magmom,species_block,0.0
39,Ag__std__OFM_component_0,species_block,0.0
40,Ag__std__OFM_component_1,species_block,0.0
41,Ag__std__OFM_component_2,species_block,0.0
42,Ag__std__OFM_component_3,species_block,0.0
43,Ag__std__OFM_component_4,species_block,0.0
44,Ag__std__OFM_component_5,species_block,0.0
45,Ag__std__OFM_component_6,species_block,0.0
46,Ag__std__OFM_component_7,species_block,0.0
47,Ag__std__OFM_component_8,species_block,0.0
48,Ag__std__OFM_component_9,species_block,0.0
49,Ag__std__OFM_component_10,species_block,0.0
50,Ag__std__OFM_component_11,species_block,0.0
51,Ag__std__OFM_component_12,species_block,0.0
52,Ag__std__OFM_component_13,species_block,0.0
53,Ag__std__OFM_component_14,species_block,0.0
54,Ag__std__OFM_component_15,species_block,0.0
55,Ag__std__OFM_component_16,species_block,0.0
56,Ag__std__OFM_component_17,species_block,0.0
57,Ag__std__OFM_component_18,species_block,0.0
58,Ag__std__OFM_component_19,species_block,0.0
59,Ag__std__OFM_component_20,species_block,0.0
60,Ag__std__OFM_component_21,species_block,0.0
61,Ag__std__OFM_component_22,species_block,0.0
62,Ag__std__OFM_component_23,species_block,0.0
63,Ag__std__OFM_component_24,species_block,0.0
64,Ag__std__OFM_component_25,species_block,0.0
65,Ag__std__OFM_component_26,species_block,0.0
66,Ag__std__OFM_component_27,species_block,0.0
67,Ag__std__OFM_component_28,species_block,0.0
68,Ag__std__OFM_component_29,species_block,0.0
69,Ag__std__OFM_component_30,species_block,0.0
70,Ag__std__OFM_component_31,species_block,0.0
71,Ag__std__atomic_mass_norm,species_block,0.0
72,Ag__std__atomic_number_norm,species_block,0.0
73,Ag__std__atomic_radius_norm,species_block,0.0
74,Ag__std__electron_affinity_norm,species_block,0.0
75,Al__count,species_block,9.218089539839074e-05
76,Al__mean__magmom,species_block,3.6267021625426964e-05
77,Al__mean__OFM_component_0,species_block,0.0
78,Al__mean__OFM_component_1,species_block,2.3358638588445414e-05
79,Al__mean__OFM_component_2,species_block,6.007955446339296e-05
80,Al__mean__OFM_component_3,species_block,0.0
81,Al__mean__OFM_component_4,species_block,0.0
82,Al__mean__OFM_component_5,species_block,0.0
83,Al__mean__OFM_component_6,species_block,0.0
84,Al__mean__OFM_component_7,species_block,0.0
85,Al__mean__OFM_component_8,species_block,0.0
86,Al__mean__OFM_component_9,species_block,0.0
87,Al__mean__OFM_component_10,species_block,0.0
88,Al__mean__OFM_component_11,species_block,0.0
89,Al__mean__OFM_component_12,species_block,0.0
90,Al__mean__OFM_component_13,species_block,0.0
91,Al__mean__OFM_component_14,species_block,0.0
92,Al__mean__OFM_component_15,species_block,0.0
93,Al__mean__OFM_component_16,species_block,0.0
94,Al__mean__OFM_component_17,species_block,0.0
95,Al__mean__OFM_component_18,species_block,0.0
96,Al__mean__OFM_component_19,species_block,0.0
97,Al__mean__OFM_component_20,species_block,0.0
98,Al__mean__OFM_component_21,species_block,0.0
99,Al__mean__OFM_component_22,species_block,0.0
100,Al__mean__OFM_component_23,species_block,0.0
101,Al__mean__OFM_component_24,species_block,0.0
102,Al__mean__OFM_component_25,species_block,0.0
103,Al__mean__OFM_component_26,species_block,0.0
104,Al__mean__OFM_component_27,species_block,0.0
105,Al__mean__OFM_component_28,species_block,0.0
106,Al__mean__OFM_component_29,species_block,0.0
107,Al__mean__OFM_component_30,species_block,0.0
108,Al__mean__OFM_component_31,species_block,0.0
109,Al__mean__atomic_mass_norm,species_block,3.981319892662963e-05
110,Al__mean__atomic_number_norm,species_block,6.324266743855136e-05
111,Al__mean__atomic_radius_norm,species_block,9.540367885465605e-05
112,Al__mean__electron_affinity_norm,species_block,6.365153325539991e-05
113,Al__std__magmom,species_block,5.037435660747425e-07
114,Al__std__OFM_component_0,species_block,0.0
115,Al__std__OFM_component_1,species_block,0.0
116,Al__std__OFM_component_2,species_block,0.0
117,Al__std__OFM_component_3,species_block,0.0
118,Al__std__OFM_component_4,species_block,0.0
119,Al__std__OFM_component_5,species_block,0.0
120,Al__std__OFM_component_6,species_block,0.0
121,Al__std__OFM_component_7,species_block,0.0
122,Al__std__OFM_component_8,species_block,0.0
123,Al__std__OFM_component_9,species_block,0.0
124,Al__std__OFM_component_10,species_block,0.0
125,Al__std__OFM_component_11,species_block,0.0
126,Al__std__OFM_component_12,species_block,0.0
127,Al__std__OFM_component_13,species_block,0.0
128,Al__std__OFM_component_14,species_block,0.0
129,Al__std__OFM_component_15,species_block,0.0
130,Al__std__OFM_component_16,species_block,0.0
131,Al__std__OFM_component_17,species_block,0.0
132,Al__std__OFM_component_18,species_block,0.0
133,Al__std__OFM_component_19,species_block,0.0
134,Al__std__OFM_component_20,species_block,0.0
135,Al__std__OFM_component_21,species_block,0.0
136,Al__std__OFM_component_22,species_block,0.0
137,Al__std__OFM_component_23,species_block,0.0
138,Al__std__OFM_component_24,species_block,0.0
139,Al__std__OFM_component_25,species_block,0.0
140,Al__std__OFM_component_26,species_block,0.0
141,Al__std__OFM_component_27,species_block,0.0
142,Al__std__OFM_component_28,species_block,0.0
143,Al__std__OFM_component_29,species_block,0.0
144,Al__std__OFM_component_30,species_block,0.0
145,Al__std__OFM_component_31,species_block,0.0
146,Al__std__atomic_mass_norm,species_block,0.0
147,Al__std__atomic_number_norm,species_block,0.0
148,Al__std__atomic_radius_norm,species_block,2.704367829587362e-08
149,Al__std__electron_affinity_norm,species_block,1.1386625452250208e-08
150,As__count,species_block,6.119723012119702e-05
151,As__mean__magmom,species_block,0.00016936800817871956
152,As__mean__OFM_component_0,species_block,0.0
153,As__mean__OFM_component_1,species_block,1.4792382516841708e-05
154,As__mean__OFM_component_2,species_block,0.0
155,As__mean__OFM_component_3,species_block,0.0
156,As__mean__OFM_component_4,species_block,2.1766003796975715e-05
157,As__mean__OFM_component_5,species_block,0.0
158,As__mean__OFM_component_6,species_block,0.0
159,As__mean__OFM_component_7,species_block,0.0
160,As__mean__OFM_component_8,species_block,0.0
161,As__mean__OFM_component_9,species_block,0.0
162,As__mean__OFM_component_10,species_block,0.0
163,As__mean__OFM_component_11,species_block,0.0
164,As__mean__OFM_component_12,species_block,0.0
165,As__mean__OFM_component_13,species_block,0.0
166,As__mean__OFM_component_14,species_block,0.0
167,As__mean__OFM_component_15,species_block,0.0
168,As__mean__OFM_component_16,species_block,0.0
169,As__mean__OFM_component_17,species_block,2.700279966681675e-05
170,As__mean__OFM_component_18,species_block,0.0
171,As__mean__OFM_component_19,species_block,0.0
172,As__mean__OFM_component_20,species_block,0.0
173,As__mean__OFM_component_21,species_block,0.0
174,As__mean__OFM_component_22,species_block,0.0
175,As__mean__OFM_component_23,species_block,0.0
176,As__mean__OFM_component_24,species_block,0.0
177,As__mean__OFM_component_25,species_block,0.0
178,As__mean__OFM_component_26,species_block,0.0
179,As__mean__OFM_component_27,species_block,0.0
180,As__mean__OFM_component_28,species_block,0.0
181,As__mean__OFM_component_29,species_block,0.0
182,As__mean__OFM_component_30,species_block,0.0
183,As__mean__OFM_component_31,species_block,0.0
184,As__mean__atomic_mass_norm,species_block,6.565155221726135e-06
185,As__mean__atomic_number_norm,species_block,1.3403485789449639e-05
186,As__mean__atomic_radius_norm,species_block,1.834039618851068e-05
187,As__mean__electron_affinity_norm,species_block,1.1511779584001507e-05
188,As__std__magmom,species_block,8.808530315274243e-05
189,As__std__OFM_component_0,species_block,0.0
190,As__std__OFM_component_1,species_block,0.0
191,As__std__OFM_component_2,species_block,0.0
192,As__std__OFM_component_3,species_block,0.0
193,As__std__OFM_component_4,species_block,0.0
194,As__std__OFM_component_5,species_block,0.0
195,As__std__OFM_component_6,species_block,0.0
196,As__std__OFM_component_7,species_block,0.0
197,As__std__OFM_component_8,species_block,0.0
198,As__std__OFM_component_9,species_block,0.0
199,As__std__OFM_component_10,species_block,0.0
200,As__std__OFM_component_11,species_block,0.0
201,As__std__OFM_component_12,species_block,0.0
202,As__std__OFM_component_13,species_block,0.0
203,As__std__OFM_component_14,species_block,0.0
204,As__std__OFM_component_15,species_block,0.0
205,As__std__OFM_component_16,species_block,0.0
206,As__std__OFM_component_17,species_block,0.0
207,As__std__OFM_component_18,species_block,0.0
208,As__std__OFM_component_19,species_block,0.0
209,As__std__OFM_component_20,species_block,0.0
210,As__std__OFM_component_21,species_block,0.0
211,As__std__OFM_component_22,species_block,0.0
212,As__std__OFM_component_23,species_block,0.0
213,As__std__OFM_component_24,species_block,0.0
214,As__std__OFM_component_25,species_block,0.0
215,As__std__OFM_component_26,species_block,0.0
216,As__std__OFM_component_27,species_block,0.0
217,As__std__OFM_component_28,species_block,0.0
218,As__std__OFM_component_29,species_block,0.0
219,As__std__OFM_component_30,species_block,0.0
220,As__std__OFM_component_31,species_block,0.0
221,As__std__atomic_mass_norm,species_block,0.0
222,As__std__atomic_number_norm,species_block,0.0
223,As__std__atomic_radius_norm,species_block,0.0
224,As__std__electron_affinity_norm,species_block,0.0
225,Au__count,species_block,5.587439824603802e-09
226,Au__mean__magmom,species_block,8.320503479177261e-11
227,Au__mean__OFM_component_0,species_block,5.286248776188328e-08
228,Au__mean__OFM_component_1,species_block,0.0
229,Au__mean__OFM_component_2,species_block,0.0
230,Au__mean__OFM_component_3,species_block,0.0
231,Au__mean__OFM_component_4,species_block,0.0
232,Au__mean__OFM_component_5,species_block,0.0
233,Au__mean__OFM_component_6,species_block,0.0
234,Au__mean__OFM_component_7,species_block,0.0
235,Au__mean__OFM_component_8,species_block,0.0
236,Au__mean__OFM_component_9,species_block,0.0
237,Au__mean__OFM_component_10,species_block,0.0
238,Au__mean__OFM_component_11,species_block,0.0
239,Au__mean__OFM_component_12,species_block,0.0
240,Au__mean__OFM_component_13,species_block,0.0
241,Au__mean__OFM_component_14,species_block,0.0
242,Au__mean__OFM_component_15,species_block,0.0
243,Au__mean__OFM_component_16,species_block,0.0
244,Au__mean__OFM_component_17,species_block,3.2559086574194976e-09
245,Au__mean__OFM_component_18,species_block,0.0
246,Au__mean__OFM_component_19,species_block,0.0
247,Au__mean__OFM_component_20,species_block,0.0
248,Au__mean__OFM_component_21,species_block,0.0
249,Au__mean__OFM_component_22,species_block,0.0
250,Au__mean__OFM_component_23,species_block,0.0
251,Au__mean__OFM_component_24,species_block,0.0
252,Au__mean__OFM_component_25,species_block,0.0
253,Au__mean__OFM_component_26,species_block,0.0
254,Au__mean__OFM_component_27,species_block,0.0
255,Au__mean__OFM_component_28,species_block,0.0
256,Au__mean__OFM_component_29,species_block,0.0
257,Au__mean__OFM_component_30,species_block,0.0
258,Au__mean__OFM_component_31,species_block,3.775710083303073e-08
259,Au__mean__atomic_mass_norm,species_block,2.6347958564147636e-10
260,Au__mean__atomic_number_norm,species_block,4.497457737154988e-10
261,Au__mean__atomic_radius_norm,species_block,9.153398916446483e-11
262,Au__mean__electron_affinity_norm,species_block,3.4381423751896465e-11
263,Au__std__magmom,species_block,0.0
264,Au__std__OFM_component_0,species_block,0.0
265,Au__std__OFM_component_1,species_block,0.0
266,Au__std__OFM_component_2,species_block,0.0
267,Au__std__OFM_component_3,species_block,0.0
268,Au__std__OFM_component_4,species_block,0.0
269,Au__std__OFM_component_5,species_block,0.0
270,Au__std__OFM_component_6,species_block,0.0
271,Au__std__OFM_component_7,species_block,0.0
272,Au__std__OFM_component_8,species_block,0.0
273,Au__std__OFM_component_9,species_block,0.0
274,Au__std__OFM_component_10,species_block,0.0
275,Au__std__OFM_component_11,species_block,0.0
276,Au__std__OFM_component_12,species_block,0.0
277,Au__std__OFM_component_13,species_block,0.0
278,Au__std__OFM_component_14,species_block,0.0
279,Au__std__OFM_component_15,species_block,0.0
280,Au__std__OFM_component_16,species_block,0.0
281,Au__std__OFM_component_17,species_block,0.0
282,Au__std__OFM_component_18,species_block,0.0
283,Au__std__OFM_component_19,species_block,0.0
284,Au__std__OFM_component_20,species_block,0.0
285,Au__std__OFM_component_21,species_block,0.0
286,Au__std__OFM_component_22,species_block,0.0
287,Au__std__OFM_component_23,species_block,0.0
288,Au__std__OFM_component_24,species_block,0.0
289,Au__std__OFM_component_25,species_block,0.0
290,Au__std__OFM_component_26,species_block,0.0
291,Au__std__OFM_component_27,species_block,0.0
292,Au__std__OFM_component_28,species_block,0.0
293,Au__std__OFM_component_29,species_block,0.0
294,Au__std__OFM_component_30,species_block,0.0
295,Au__std__OFM_component_31,species_block,0.0
296,Au__std__atomic_mass_norm,species_block,0.0
297,Au__std__atomic_number_norm,species_block,0.0
298,Au__std__atomic_radius_norm,species_block,0.0
299,Au__std__electron_affinity_norm,species_block,0.0
300,B__count,species_block,6.912032050792486e-05
301,B__mean__magmom,species_block,2.9857905981446164e-05
302,B__mean__OFM_component_0,species_block,0.0
303,B__mean__OFM_component_1,species_block,1.9200468835835578e-05
304,B__mean__OFM_component_2,species_block,1.2540294688271574e-05
305,B__mean__OFM_component_3,species_block,0.0
306,B__mean__OFM_component_4,species_block,0.0
307,B__mean__OFM_component_5,species_block,0.0
308,B__mean__OFM_component_6,species_block,0.0
309,B__mean__OFM_component_7,species_block,0.0
310,B__mean__OFM_component_8,species_block,0.0
311,B__mean__OFM_component_9,species_block,0.0
312,B__mean__OFM_component_10,species_block,0.0
313,B__mean__OFM_component_11,species_block,0.0
314,B__mean__OFM_component_12,species_block,0.0
315,B__mean__OFM_component_13,species_block,0.0
316,B__mean__OFM_component_14,species_block,0.0
317,B__mean__OFM_component_15,species_block,0.0
318,B__mean__OFM_component_16,species_block,0.0
319,B__mean__OFM_component_17,species_block,0.0
