feature_index,block_type,meta,meaning
0,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__count
1,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__magmom
2,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_0
3,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_1
4,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_2
5,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_3
6,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_4
7,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_5
8,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_6
9,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_7
10,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_8
11,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_9
12,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_10
13,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_11
14,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_12
15,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_13
16,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_14
17,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_15
18,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_16
19,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_17
20,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_18
21,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_19
22,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_20
23,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_21
24,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_22
25,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_23
26,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_24
27,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_25
28,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_26
29,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_27
30,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_28
31,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_29
32,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_30
33,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__OFM_component_31
34,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__atomic_mass_norm
35,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__atomic_number_norm
36,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__atomic_radius_norm
37,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__mean__electron_affinity_norm
38,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__magmom
39,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_0
40,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_1
41,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_2
42,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_3
43,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_4
44,species_block,"{'type': 'species_block', 'species': 'Ag'}",Ag__std__OFM_component_5
