meaning,abs_pearson
global_mean__OFM_component_13,0.6356799223664387
Fe__std__atomic_number_norm,0.5899423234403636
Fe__count,0.5640208657621884
global_mean__magmom,0.5341051714596368
Fe__std__atomic_mass_norm,0.5269587028275061
Fe__std__electron_affinity_norm,0.5174848509229847
global_mean__electron_affinity_norm,0.43274195225567025
Fe__mean__magmom,0.37930307101045446
Fe__mean__atomic_mass_norm,0.37930304810349724
Fe__mean__atomic_number_norm,0.3793030150086647
Fe__mean__OFM_component_1,0.3793030119043916
Fe__mean__OFM_component_13,0.3793030119043916
Fe__mean__electron_affinity_norm,0.37930301168790587
Fe__mean__atomic_radius_norm,0.3793029737763879
rbf_bin25__mean,0.3783737964749473
Fe__std__magmom,0.37361792112694864
global_std__OFM_component_13,0.373552515547935
global_mean__OFM_component_5,0.3589607248289699
global_std__OFM_component_5,0.3543523794456342
global_mean__atomic_radius_norm,0.3518734231067435
rbf_bin26__mean,0.3395820560944975
O__mean__atomic_radius_norm,0.3136121152240477
O__mean__atomic_number_norm,0.3136121097404788
O__mean__magmom,0.3136121063642584
O__mean__OFM_component_1,0.3136121035707969
O__mean__OFM_component_5,0.3136121035707969
O__mean__electron_affinity_norm,0.3136121035707969
O__mean__atomic_mass_norm,0.3136121007359153
Fe__std__atomic_radius_norm,0.3132333267976832
rbf_bin24__mean,0.3102167310238563
rbf_bin24__std,0.29687308870324053
rbf_bin26__std,0.27948676274206846
rbf_bin25__std,0.26944091433461703
global_std__atomic_radius_norm,0.2602165455228666
O__count,0.2559525829565809
O__std__atomic_mass_norm,0.2534917107327848
O__std__magmom,0.251412176636163
global_std__electron_affinity_norm,0.24603141060945322
global_std__OFM_component_1,0.23858655972935927
global_std__OFM_component_0,0.23808597181109417
rbf_bin16__std,0.22982508365495619
rbf_bin22__std,0.22428928951695218
rbf_bin16__mean,0.22380375049835385
O__std__atomic_radius_norm,0.22237480913085217
global_mean__OFM_component_1,0.22236454727089017
global_mean__OFM_component_0,0.22206500966574141
C__mean__atomic_radius_norm,0.21706745116571963
C__mean__magmom,0.2170674507197795
C__mean__electron_affinity_norm,0.21706744850542686
C__mean__atomic_number_norm,0.21706744795561367
C__mean__OFM_component_1,0.2170674479556136
C__mean__OFM_component_3,0.2170674479556136
C__mean__atomic_mass_norm,0.21706744525775235
rbf_bin21__std,0.21577244761853026
rbf_bin15__std,0.21337183250234346
rbf_bin36__std,0.21024089967956733
rbf_bin15__mean,0.20867021083653303
global_mean__atomic_number_norm,0.20372599826671017
Li__mean__magmom,0.19854916708211348
