meaning,importance_impurity
global_mean__OFM_component_13,0.504144474003506
global_mean__magmom,0.08969821560906024
global_mean__OFM_component_14,0.03323575958496975
rbf_bin25__mean,0.023152110875574415
global_std__OFM_component_13,0.01798660180965912
global_std__OFM_component_24,0.01717587826245905
rbf_bin26__std,0.015470004803133115
global_std__magmom,0.012177855104279996
rbf_bin20__mean,0.011290771489932155
global_mean__OFM_component_24,0.010325904234943927
rbf_bin26__mean,0.009936291431545289
global_std__OFM_component_12,0.00985959944586865
global_std__electron_affinity_norm,0.009839032165039549
global_mean__OFM_component_12,0.009613568015409723
global_mean__electron_affinity_norm,0.008254511762273996
rbf_bin32__mean,0.006680023692332384
rbf_bin21__mean,0.006500711515502029
rbf_bin19__mean,0.00621585045178024
rbf_bin21__std,0.005398827677796356
global_std__atomic_radius_norm,0.0053479681224635756
rbf_bin32__std,0.0051231481580706366
global_mean__atomic_number_norm,0.005020026958499373
global_mean__atomic_radius_norm,0.00484269257820814
rbf_bin25__std,0.004686477218854948
rbf_bin19__std,0.004684846874020125
rbf_bin20__std,0.004375823419095626
global_std__OFM_component_14,0.0042481698936763755
global_mean__atomic_mass_norm,0.004221355827759293
rbf_bin22__mean,0.004141654898695418
rbf_bin30__std,0.004097720141770094
rbf_bin24__mean,0.004016657032329994
rbf_bin29__std,0.003750045611409103
Mn__count,0.0037228068487395656
rbf_bin28__mean,0.0036468641249893254
rbf_bin30__mean,0.0036338353579147063
rbf_bin27__mean,0.003591557062304668
rbf_bin28__std,0.0035887442786478765
rbf_bin27__std,0.0035143795493934966
Fe__count,0.003494683058048873
rbf_bin24__std,0.0034648204517710906
global_std__atomic_number_norm,0.003453624945604093
rbf_bin29__mean,0.0033662745306590573
rbf_bin31__std,0.003291139492239495
rbf_bin22__std,0.003068163650476336
rbf_bin23__std,0.0030595650656411056
rbf_bin33__std,0.0029500872206659366
rbf_bin31__mean,0.0027748519930040644
global_std__atomic_mass_norm,0.002763904324785389
Co__count,0.002728688520564145
rbf_bin23__mean,0.0025822467926903633
global_std__OFM_component_5,0.002531983721883956
Mn__mean__magmom,0.0023162082527679066
rbf_bin33__mean,0.0022545221662349227
global_mean__OFM_component_1,0.0022158724815270142
rbf_bin34__mean,0.0019912922481815083
rbf_bin34__std,0.0017587374190308775
global_mean__OFM_component_0,0.001617130554900779
global_std__OFM_component_17,0.001451003901988387
rbf_bin37__mean,0.0013697759055081667
global_std__OFM_component_0,0.0013631165208789339
rbf_bin35__mean,0.0013392067716304751
rbf_bin18__std,0.001291904200960679
rbf_bin43__std,0.0012908953430071316
Co__mean__magmom,0.0012776716564707523
global_std__OFM_component_1,0.001239920380614733
rbf_bin35__std,0.0012226355829069435
rbf_bin36__mean,0.001171555593064515
rbf_bin37__std,0.0011626633608711348
global_std__OFM_component_15,0.0011398537086926396
Gd__count,0.0011263282774429955
rbf_bin42__std,0.0011053094422612572
rbf_bin38__std,0.0010982536816414453
Mn__mean__atomic_radius_norm,0.0010737219110789375
rbf_bin18__mean,0.0010530700381980193
rbf_bin36__std,0.00102316049710872
global_mean__OFM_component_5,0.0008663519890060539
rbf_bin38__mean,0.0008332962205803607
rbf_bin41__std,0.0008260695975586976
rbf_bin42__mean,0.0008028425058239097
rbf_bin17__std,0.000771367847558488
