meaning,mean_abs_shap
global_mean__OFM_component_13,0.017346027485651797
global_mean__magmom,0.006487932198208281
global_mean__OFM_component_14,0.0026115702314368264
rbf_bin25__mean,0.0020541883276336353
global_std__OFM_component_13,0.0013671202867938726
global_std__OFM_component_12,0.0010428354507087114
rbf_bin20__mean,0.0009620047665633281
global_mean__OFM_component_12,0.0009581653878017365
global_std__OFM_component_24,0.0008169677577930521
global_mean__electron_affinity_norm,0.0007301208900830205
rbf_bin19__mean,0.0007246869496756384
Fe__count,0.000642881944296588
rbf_bin19__std,0.0005852147018319821
global_std__electron_affinity_norm,0.0005379393263324538
global_mean__OFM_component_24,0.0004957593894895427
rbf_bin21__mean,0.00047063323772725523
rbf_bin32__mean,0.0004485733661327159
rbf_bin20__std,0.0003553771889539441
global_mean__atomic_number_norm,0.0003466020474162741
global_std__atomic_radius_norm,0.0003388698807412326
global_mean__atomic_radius_norm,0.00033279828505854804
Mn__count,0.0003268683356428016
global_std__magmom,0.00032119378445257993
Co__count,0.00032049368984986775
Mn__mean__magmom,0.0002951285911058126
global_std__OFM_component_5,0.0002771946524870684
rbf_bin24__mean,0.00026936043320448114
global_mean__atomic_mass_norm,0.00024516260763759757
rbf_bin29__std,0.0002415669660760094
rbf_bin26__std,0.00022531131756436238
rbf_bin21__std,0.00020781708093430787
rbf_bin26__mean,0.00020740588398025217
global_std__OFM_component_14,0.0002069137564479748
rbf_bin27__std,0.00016723976221092956
rbf_bin32__std,0.00016263121941547832
rbf_bin24__std,0.00016016523746471075
rbf_bin25__std,0.00014805871909061248
rbf_bin22__mean,0.00014651045787296343
rbf_bin30__std,0.00013746307862335012
rbf_bin22__std,0.00013292618939828274
Mn__mean__atomic_radius_norm,0.00012956062848810368
global_mean__OFM_component_1,0.00012506422368503456
rbf_bin30__mean,0.00011902827240811818
Co__mean__magmom,0.00011844451065163127
rbf_bin28__mean,0.00011494035931869038
rbf_bin18__std,0.00011461271199116807
global_std__OFM_component_15,0.00010951717630043031
rbf_bin29__mean,0.00010943775477102362
global_std__atomic_number_norm,0.00010608353211277064
rbf_bin27__mean,9.711703835965582e-05
rbf_bin23__mean,9.562109233742373e-05
rbf_bin18__mean,9.498819717206778e-05
global_std__OFM_component_17,9.123269164021095e-05
rbf_bin28__std,9.058388715470791e-05
rbf_bin23__std,8.980678755624613e-05
rbf_bin31__mean,8.897857385261622e-05
rbf_bin34__mean,8.880987805465647e-05
rbf_bin31__std,8.763558068894205e-05
rbf_bin38__std,8.34591294065274e-05
rbf_bin33__std,8.23512633575872e-05
global_mean__OFM_component_0,8.213661023144941e-05
global_std__atomic_mass_norm,7.433076459740868e-05
Co__mean__atomic_mass_norm,7.098034854188467e-05
global_std__OFM_component_0,7.063812671218713e-05
Co__mean__OFM_component_1,7.010832679126464e-05
Co__mean__atomic_radius_norm,6.958093184525278e-05
rbf_bin33__mean,6.789493419664063e-05
O__count,6.774241739931024e-05
rbf_bin34__std,6.018432443671715e-05
Co__mean__electron_affinity_norm,5.718123023258658e-05
rbf_bin35__mean,5.4610248383158964e-05
rbf_bin38__mean,5.2340248956447455e-05
rbf_bin37__mean,5.050556829379897e-05
rbf_bin17__std,5.0499431323357265e-05
global_mean__OFM_component_5,5.043224841901268e-05
rbf_bin36__std,4.891933716266627e-05
Co__std__magmom,4.765793486442233e-05
rbf_bin43__std,4.730375100288886e-05
rbf_bin37__std,4.6814680997739234e-05
global_std__OFM_component_3,4.607210790302703e-05
global_std__OFM_component_1,4.5593366693197646e-05
Mn__mean__electron_affinity_norm,4.319904180132185e-05
rbf_bin42__std,4.291667887940017e-05
O__std__magmom,4.238005192178304e-05
global_std__OFM_component_2,4.0357090749107644e-05
Co__mean__OFM_component_14,3.938061405618266e-05
rbf_bin35__std,3.8938341485717564e-05
rbf_bin16__std,3.8466284628906125e-05
global_mean__OFM_component_2,3.766910315441602e-05
Co__mean__atomic_number_norm,3.723465571041735e-05
O__mean__magmom,3.5879978511403564e-05
rbf_bin39__mean,3.5067956373740505e-05
rbf_bin41__std,3.349658128239133e-05
global_mean__OFM_component_3,3.2768122425357716e-05
rbf_bin36__mean,3.2329407304594195e-05
Cu__count,3.227162992296709e-05
Cr__count,3.1505246223432706e-05
Cu__mean__atomic_mass_norm,3.1039012976378326e-05
rbf_bin17__mean,3.066314643908739e-05
rbf_bin39__std,2.8091434109943894e-05
global_std__OFM_component_4,2.80179429822329e-05
rbf_bin42__mean,2.667458949165024e-05
rbf_bin40__std,2.616167699721017e-05
Mn__mean__OFM_component_12,2.5909264688729812e-05
Fe__mean__OFM_component_1,2.5426350281245216e-05
Gd__count,2.4971880175463027e-05
global_mean__OFM_component_17,2.3013572964076664e-05
Cu__mean__atomic_number_norm,2.2898597096168458e-05
rbf_bin15__std,2.2546542070001757e-05
Cu__mean__magmom,2.2207586965182286e-05
Cu__mean__OFM_component_0,2.1081067207718046e-05
Li__count,2.0770549030214334e-05
global_mean__OFM_component_4,1.946077247910459e-05
Mn__mean__atomic_mass_norm,1.8689542924072728e-05
global_std__OFM_component_8,1.8264005570634543e-05
Mn__mean__atomic_number_norm,1.7423372553874434e-05
rbf_bin16__mean,1.6581744568488986e-05
rbf_bin15__mean,1.6238288793232102e-05
Cu__mean__OFM_component_17,1.5990029862171307e-05
global_mean__OFM_component_15,1.5975731647556246e-05
Fe__mean__atomic_number_norm,1.555717397347974e-05
global_mean__OFM_component_8,1.5073592444477236e-05
Fe__mean__OFM_component_13,1.4688723724581685e-05
Cu__mean__atomic_radius_norm,1.4345973033188923e-05
Fe__mean__atomic_mass_norm,1.3024662159194405e-05
Ba__mean__atomic_radius_norm,1.2310747045170655e-05
Mn__mean__OFM_component_1,1.2128287951121894e-05
Fe__mean__magmom,1.1715027398949073e-05
global_mean__OFM_component_10,1.1693135499791214e-05
rbf_bin40__mean,1.1540582635204602e-05
Fe__mean__electron_affinity_norm,1.099865640124431e-05
