task_id,total_magnetization,volume
mp-1001793,3.00568175,234.1901016569457
mp-1002109,1.205736,24.273855352650042
mp-1005690,5.1233837,258.39011104644806
mp-1005831,0.49340675,326.57424938986867
mp-1006352,0.00126185,320.75268887902564
mp-1007821,2.5956389,45.874773479731985
mp-1007852,7.239309,44.430020652662705
mp-1008224,0.0171555,44.74502645169284
mp-1008349,5.5421746,43.394190962890576
mp-1008530,0.9839994,47.04938340756288
mp-1008874,0.0106235,50.410603136
mp-1009133,0.0047113,23.236958854656006
mp-1011834,3.000000025,598.6893062502432
mp-1011858,0.99912385,655.2744351799956
mp-1011860,1.00004955,641.5540757428239
mp-1013912,1.07747485,457.39425931670974
mp-1013953,7.0389736,608.6109607643082
mp-1017553,0.1589677,57.291213052689926
mp-1018012,1.0029676,49.14617031656249
mp-1018024,0.0298289,46.77224679405497
mp-1018060,2.8512574,45.87687725107636
mp-1018085,2.1947452,59.78063897090348
mp-1018660,3.625e-05,109.26755442243947
mp-1018740,0.314729,120.32770105968179
mp-1018803,0.33030485,98.40114151485946
mp-1018813,0.0198432,115.43424734678891
mp-1018897,0.0232922,116.61248325687141
mp-1019099,0.00475345,113.79394844642486
mp-102,1.6215574,10.913330947589623
mp-1022803,7.1333333333333325e-06,560.9256679880464
mp-1024963,0.2997295,64.73839321304288
mp-1025047,0.4292477,72.30985841915994
mp-1025070,0.3479986,64.90664527527359
mp-1025190,0.001321,115.74702435980237
mp-1025235,0.0479065,116.50681487549355
mp-1025239,7.1342375,158.7540630593316
mp-1025322,1.0195834,120.55035637303781
mp-1025325,0.0005284,119.04687805220973
mp-1025347,1.1263023,129.24555766802078
mp-1025425,0.00815995,68.93934851204769
mp-1029420,0.388380175,246.7838936989469
mp-1029444,0.387990425,225.79217612205875
mp-1029491,0.3785146,269.6839638386451
mp-1029492,0.697233975,420.0251112434553
mp-1029532,1.6821251,77.46883635099043
mp-1029610,0.0143311,221.09614218127984
mp-1030752,5.6520223,358.6090292876849
mp-1035281,1.0088771,307.49316728404887
mp-1036235,5.8914459,313.20355078308364
mp-1036271,2.1282101,313.6758440762011
mp-1036401,2.9897866,319.66442085994845
mp-1036443,3.0035157,319.3680326515644
mp-1036613,2.0222181,307.21238548934514
mp-1036619,1.31e-05,307.3005919507986
mp-1036857,2.4813641,630.2746563260537
mp-1036911,0.0014375,637.5197247708184
mp-1036919,2.8919827,627.3487796934627
mp-1036978,2.9489908,647.9955353544467
mp-1036983,2.097084,627.673071685983
mp-1036988,4.9990194,618.0936181068745
mp-1036993,6.9816849,618.4561973817598
mp-1037017,2.9512836,635.877301534685
mp-1037157,1.6091377,622.3707754613383
mp-1037160,3.0326143,622.9408994319667
mp-1037175,1.0429446,615.9158698598262
mp-1037188,5.9584358,618.8390273392058
mp-1037482,2.8951386,618.2706988339593
mp-1037496,5.94e-05,618.2527218045561
mp-1037750,1.9951945,632.7149885527807
mp-1038117,3.0002487,627.8742282028549
mp-1038281,7.9957849,621.0692984689725
mp-1038344,1.9931276,614.6987594770934
mp-10394,0.01706925,74.3245945593134
mp-10463,0.025487,148.86711639117286
mp-10537,0.9946236375,871.1479833705614
mp-1063914,1.9964066,47.72768578073282
mp-1066609,1.9885247,45.12166284942425
mp-1068786,2.9387266,57.18574728778421
mp-1069379,0.1209226,79.87957772570829
mp-1075901,0.8827662,461.97850431635214
mp-1075928,6.89248405,449.23080756918694
mp-1075935,33.7504296,485.25903915283027
mp-1075955,32.4583227,466.561971300907
mp-1075966,3.7263131,460.9699436389929
mp-1075989,1.1471141,492.17375004885156
mp-1075997,27.411413,456.7431625122307
mp-1076062,29.8541183,468.33351711981237
mp-1076063,0.03908015,238.0779375740819
mp-1076107,25.5429492,457.1053897863215
mp-1076137,0.7297744,486.23762215225076
mp-1076147,17.2079964875,1917.6946007725833
mp-1076159,33.693937875,1970.0648211438818
mp-1076198,30.494572,1840.8188603884348
mp-1076247,0.9147241,508.4182823113195
mp-1076260,2.4211069,458.71333400144084
mp-1076264,1.693364,484.8052519922571
mp-1076342,3.895141,510.41975695665
mp-1076372,0.3536151,473.4603653071712
mp-1076399,32.2197108,469.36860523379283
mp-1076428,32.4853058,1922.2420017172994
mp-1076429,0.8388492,484.38372165548367
mp-1076438,0.036431,251.49975013068655
mp-1076439,0.5991468,280.6335154243477
mp-1076457,29.8338322,465.8223096776796
mp-1076479,29.995570325,1860.9299888886094
mp-1076488,32.8287907,1945.2115052163329
mp-1076491,1.4418595,496.2898899378168
mp-1076502,31.50071185,1896.2905676137384
mp-1076516,36.425625175,1945.0619672308494
mp-1076526,23.49775945,1744.4916743276067
mp-1076528,4.72347995,482.5727278473163
mp-1076600,1.3438615,489.44857315920456
mp-1076602,0.1324291,452.58580713733943
mp-1076614,33.4819353,1883.0453337390893
mp-1076626,25.553209,444.10044321125497
mp-1076674,27.4810145,460.8698192720283
mp-1076675,13.9937626375,1829.3973032105544
mp-1076681,7.7150187,469.5890497089023
mp-1076688,0.30605385,460.76220133159404
mp-1076741,1.4501576,456.68026094941087
mp-1076747,28.5925887,465.01953156416675
mp-1076758,33.49671595,1972.137237278732
mp-1076802,29.65322,455.00728828806444
mp-1076805,27.720497,462.047960491996
mp-1076829,0.3964899,441.73012860049477
mp-1076858,31.1250402,474.19443950193664
mp-1077071,14.0615035,83.34371424706873
mp-1077521,7.1707572,65.1666552827812
mp-1077660,34.0346513,477.8583330831427
mp-1077935,0.1378175,99.79302732576672
mp-1078160,6.9941676,128.38417542399898
mp-1078200,0.5465976,119.14278942076292
mp-1078249,1.4783573,126.05953675269662
mp-1078291,0.00141495,145.09601848156362
mp-1078336,1.00079705,119.80057346963984
mp-1078369,14.2184666,168.81695770746936
mp-1078695,0.0011089,190.01985430723727
mp-1078839,0.0076103,191.19252496531067
mp-1078968,0.0016471,194.15331453563454
mp-1079246,0.0010566333333333333,140.14363446865616
mp-1079253,0.1154564,243.27760240729472
mp-1079254,1.0811520666666665,109.86723073201136
mp-1079307,0.0071936,169.26513590242126
mp-1079403,4.6819973,126.32962190729553
mp-1079542,0.08326460000000001,109.56616358798216
mp-1079551,7.0061822,118.48197341064794
mp-1079700,0.1736987,235.0092226190245
mp-1079716,0.07266375,142.22351196096082
mp-1079725,0.2273491,231.51306914235406
mp-1079833,0.0040022,184.28039942076916
mp-1079951,0.16918935,228.4017759756956
mp-1080062,12.2229441,113.48479137342225
mp-1080603,18.5677509,93.63078000410347
mp-1080667,0.0142943,91.1076286600527
mp-1084832,17.9563354,85.09936332657782
mp-10883,3.0029334,46.529833898198135
mp-10884,4.9915375,46.39212825545415
mp-1091407,0.02708625,125.94938176651326
mp-10922,1.1836742,241.53781345684845
mp-10923,2.9671079,251.60299255212584
mp-10924,0.0013212,125.60759850585171
mp-1094054,7.1284189,116.5350901467221
mp-1094065,0.0190554,116.31776584257881
mp-1094100,0.0032494,457.81706736588285
mp-1094138,0.1505978,666.3291546573375
mp-1095158,0.004991966666666667,137.58768659076708
