mp-2866,"Full Formula (Yb1 Fe2 Si2)
Reduced Formula: Yb(FeSi)2
abc   :   5.417675   5.417675   5.417675
angles: 137.629615 137.629615  61.470737
pbc   :       True       True       True
Sites (5)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Yb    0         0         0      -0
  1  Fe    0.75      0.25      0.5    -0.001
  2  Fe    0.25      0.75      0.5    -0.001
  3  Si    0.634493  0.634493  0       0
  4  Si    0.365507  0.365507  0       0",0.75
mp-3569,"Full Formula (Nd1 Sb12 Os4)
Reduced Formula: Nd(Sb3Os)4
abc   :   8.106783   8.106783   8.106783
angles: 109.471221 109.471221 109.471221
pbc   :       True       True       True
Sites (17)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Nd    0         0         -0               -0
  1  Sb    0.156647  0.816912   0.660264         0
  2  Sb    0.843353  0.183088   0.339736         0
  3  Sb    0.843353  0.503618   0.660264         0
  4  Sb    0.156647  0.496382   0.339736         0
  5  Sb    0.816912  0.660264   0.156647         0
  6  Sb    0.183088  0.339736   0.843353         0
  7  Sb    0.503618  0.660264   0.843353         0
  8  Sb    0.496382  0.339736   0.156647         0
  9  Sb    0.660264  0.156647   0.816912         0
 10  Sb    0.339736  0.843353   0.183088         0
 11  Sb    0.660264  0.843353   0.503618         0
 12  Sb    0.339736  0.156647   0.496382         0
 13  Os    0         0          0.5             -0
 14  Os    0.5       0         -0               -0
 15  Os    0         0.5       -0               -0
 16  Os    0.5       0.5        0.5             -0",0.9
mp-1188451,"Full Formula (Nd1 P12 Os4)
Reduced Formula: Nd(P3Os)4
abc   :   7.009353   7.009353   7.009353
angles: 109.471221 109.471221 109.471221
pbc   :       True       True       True
Sites (17)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Nd    -0         -0         0               -0
  1  P      0.357243   0.214339  0.857096        -0
  2  P      0.642757   0.785661  0.142904        -0
  3  P      0.642757   0.499853  0.857096        -0
  4  P      0.357243   0.500147  0.142904        -0
  5  P      0.214339   0.857096  0.357243        -0
  6  P      0.785661   0.142904  0.642757        -0
  7  P      0.499853   0.857096  0.642757        -0
  8  P      0.500147   0.142904  0.357243        -0
  9  P      0.857096   0.357243  0.214339        -0
 10  P      0.142904   0.642757  0.785661        -0
 11  P      0.857096   0.642757  0.499853        -0
 12  P      0.142904   0.357243  0.500147        -0
 13  Os    -0         -0         0.5             -0
 14  Os     0.5       -0         0               -0
 15  Os    -0          0.5       0               -0
 16  Os     0.5        0.5       0.5             -0",1.15
mp-1189354,"Full Formula (Nd1 Sb12 Ru4)
Reduced Formula: Nd(Sb3Ru)4
abc   :   8.080478   8.080478   8.080478
angles: 109.471221 109.471221 109.471221
pbc   :       True       True       True
Sites (17)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Nd    0         0         0                0
  1  Sb    0.340593  0.18254   0.841947        -0
  2  Sb    0.659407  0.81746   0.158053        -0
  3  Sb    0.659407  0.501354  0.841947        -0
  4  Sb    0.340593  0.498646  0.158053        -0
  5  Sb    0.18254   0.841947  0.340593        -0
  6  Sb    0.81746   0.158053  0.659407        -0
  7  Sb    0.501354  0.841947  0.659407        -0
  8  Sb    0.498646  0.158053  0.340593        -0
  9  Sb    0.841947  0.340593  0.18254         -0
 10  Sb    0.158053  0.659407  0.81746         -0
 11  Sb    0.841947  0.659407  0.501354        -0
 12  Sb    0.158053  0.340593  0.498646        -0
 13  Ru    0         0         0.5             -0
 14  Ru    0.5       0         0               -0
 15  Ru    0         0.5       0               -0
 16  Ru    0.5       0.5       0.5             -0",1.3
mp-1196005,"Full Formula (Nd6 Si22 Pt46)
Reduced Formula: Nd3Si11Pt23
abc   :  12.057839  12.057839  12.057839
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (74)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Nd    0         0         0.5          0.005
  1  Nd    0.5       0         0.5          0.013
  2  Nd    0         0.5       0.5          0.014
  3  Nd    0.5       0.5       0            0.005
  4  Nd    0         0.5       0            0.014
  5  Nd    0.5       0         0            0.013
  6  Si    0.828561  0.828561  0.171439    -0
  7  Si    0.171439  0.828561  0.171439    -0
  8  Si    0.828561  0.171439  0.171439    -0
  9  Si    0.171439  0.171439  0.828561    -0
 10  Si    0.828561  0.171439  0.828561    -0
 11  Si    0.171439  0.828561  0.828561    -0
 12  Si    0.83488   0.83488   0.495359     0
 13  Si    0.83488   0.495359  0.83488      0
 14  Si    0.495359  0.83488   0.83488      0
 15  Si    0.83488   0.83488   0.83488      0
 16  Si    0.16512   0.16512   0.504641     0
 17  Si    0.16512   0.504641  0.16512      0
 18  Si    0.504641  0.16512   0.16512      0
 19  Si    0.16512   0.16512   0.16512      0
 20  Si    0.606644  0.606644  0.180069     0
 21  Si    0.606644  0.180069  0.606644     0
 22  Si    0.180069  0.606644  0.606644     0
 23  Si    0.606644  0.606644  0.606644     0
 24  Si    0.393356  0.393356  0.819931     0
 25  Si    0.393356  0.819931  0.393356     0
 26  Si    0.819931  0.393356  0.393356     0
 27  Si    0.393356  0.393356  0.393356     0
 28  Pt    0.917372  0.917372  0.247883    -0
 29  Pt    0.917372  0.247883  0.917372    -0
 30  Pt    0.247883  0.917372  0.917372    -0
 31  Pt    0.917372  0.917372  0.917372    -0
 32  Pt    0.082628  0.082628  0.752117    -0
 33  Pt    0.082628  0.752117  0.082628    -0
 34  Pt    0.752117  0.082628  0.082628    -0
 35  Pt    0.082628  0.082628  0.082628    -0
 36  Pt    0.691772  0.691772  0.924683     0.002
 37  Pt    0.691772  0.924683  0.691772     0.002
 38  Pt    0.924683  0.691772  0.691772     0.002
 39  Pt    0.691772  0.691772  0.691772     0.002
 40  Pt    0.308228  0.308228  0.075317     0.002
 41  Pt    0.308228  0.075317  0.308228     0.002
 42  Pt    0.075317  0.308228  0.308228     0.002
 43  Pt    0.308228  0.308228  0.308228     0.002
 44  Pt    0.625357  0.625357  0.374643     0.001
 45  Pt    0.374643  0.625357  0.374643     0.001
 46  Pt    0.625357  0.374643  0.374643     0.001
 47  Pt    0.374643  0.374643  0.625357     0.001
 48  Pt    0.625357  0.374643  0.625357     0.001
 49  Pt    0.374643  0.625357  0.625357     0.001
 50  Pt    0.748125  0.082929  0.420822    -0.001
 51  Pt    0.748125  0.748125  0.420822     0.001
 52  Pt    0.082929  0.748125  0.420822    -0
 53  Pt    0.748125  0.420822  0.082929    -0.001
 54  Pt    0.082929  0.420822  0.748125     0.001
 55  Pt    0.748125  0.420822  0.748125    -0.001
 56  Pt    0.420822  0.748125  0.748125    -0
 57  Pt    0.420822  0.082929  0.748125     0.001
 58  Pt    0.420822  0.748125  0.082929    -0
 59  Pt    0.082929  0.748125  0.748125    -0
 60  Pt    0.748125  0.748125  0.082929     0.001
 61  Pt    0.748125  0.082929  0.748125    -0.001
 62  Pt    0.251875  0.917071  0.579178    -0.001
 63  Pt    0.251875  0.251875  0.579178     0.001
 64  Pt    0.917071  0.251875  0.579178    -0
 65  Pt    0.251875  0.579178  0.917071    -0.001
 66  Pt    0.917071  0.579178  0.251875     0.001
 67  Pt    0.251875  0.579178  0.251875    -0.001
 68  Pt    0.579178  0.251875  0.251875    -0
 69  Pt    0.579178  0.917071  0.251875     0.001
 70  Pt    0.579178  0.251875  0.917071    -0
 71  Pt    0.917071  0.251875  0.251875    -0
 72  Pt    0.251875  0.251875  0.917071     0.001
 73  Pt    0.251875  0.917071  0.251875    -0.001",1.6
mp-5326,"Full Formula (Yb1 Co2 Si2)
Reduced Formula: Yb(CoSi)2
abc   :   5.508672   5.508672   5.508672
angles: 139.476985 139.476985  58.648290
pbc   :       True       True       True
Sites (5)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Yb    0         0         0           0
  1  Co    0.75      0.25      0.5        -0
  2  Co    0.25      0.75      0.5        -0
  3  Si    0.627259  0.627259  0           0
  4  Si    0.372741  0.372741  0           0",1.7
mp-1212845,"Full Formula (Er2 Al20 Fe4)
Reduced Formula: Er(Al5Fe)2
abc   :   6.692688   6.692688   8.859379
angles:  90.000000  90.000000  97.393867
pbc   :       True       True       True
Sites (26)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Er     0.874059  0.125941  0.75             0
  1  Er     0.125941  0.874059  0.25             0
  2  Al     0.625464  0.374536  0.549646        -0
  3  Al     0.374536  0.625464  0.450354        -0
  4  Al     0.374536  0.625464  0.049646        -0
  5  Al     0.625464  0.374536  0.950354        -0
  6  Al     0.227478  0.227478  0.5              0
  7  Al     0.772522  0.772522  0.5              0
  8  Al     0.772522  0.772522  0                0
  9  Al     0.227478  0.227478  0                0
 10  Al     0.841616  0.158384  0.096758         0
 11  Al     0.158384  0.841616  0.903242         0
 12  Al     0.158384  0.841616  0.596758         0
 13  Al     0.841616  0.158384  0.403242         0
 14  Al     0.866198  0.586272  0.75            -0
 15  Al     0.133802  0.413728  0.25            -0
 16  Al     0.413728  0.133802  0.75            -0
 17  Al     0.586272  0.866198  0.25            -0
 18  Al     0.219048  0.478518  0.75            -0
 19  Al     0.780952  0.521482  0.25            -0
 20  Al     0.521482  0.780952  0.75            -0
 21  Al     0.478518  0.219048  0.25            -0
 22  Fe    -0         0.5       0.5              0
 23  Fe    -0         0.5       0                0
 24  Fe     0.5       0         0                0
 25  Fe     0.5       0         0.5              0",1.7
mp-4469,"Full Formula (Tm1 Si2 Ni2)
Reduced Formula: Tm(SiNi)2
abc   :   3.902426   3.902427   5.475886
angles: 110.874874 110.874882  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Tm    0         0         0                0
  1  Si    0.625803  0.625803  0.251606        -0
  2  Si    0.374197  0.374197  0.748394        -0
  3  Ni    0.25      0.75      0.5             -0
  4  Ni    0.75      0.25      0.5             -0",1.7
mp-16431,"Full Formula (Nd1 Fe4 P12)
Reduced Formula: Nd(FeP3)4
abc   :   6.735052   6.735052   6.735052
angles: 109.471221 109.471220 109.471222
pbc   :       True       True       True
Sites (17)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Nd    -0         0         -0                0
  1  Fe     0.5       0         -0                0
  2  Fe    -0         0          0.5              0
  3  Fe    -0         0.5       -0                0
  4  Fe     0.5       0.5        0.5              0
  5  P      0.495639  0.849269   0.646369        -0
  6  P      0.2029    0.849269   0.353631        -0
  7  P      0.7971    0.150731   0.646369        -0
  8  P      0.150731  0.353631   0.504361        -0
  9  P      0.353631  0.504361   0.150731        -0
 10  P      0.504361  0.150731   0.353631        -0
 11  P      0.150731  0.646369   0.7971          -0
 12  P      0.353631  0.2029     0.849269        -0
 13  P      0.849269  0.646369   0.495639        -0
 14  P      0.646369  0.7971     0.150731        -0
 15  P      0.849269  0.353631   0.2029          -0
 16  P      0.646369  0.495639   0.849269        -0",1.94
mp-6643,"Full Formula (Ba4 Dy8 Zn4 O20)
Reduced Formula: BaDy2ZnO5
abc   :   5.760470   7.149988  12.445438
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.75      0.077117  0.101547         0
  1  Ba    0.75      0.422883  0.601547         0
  2  Ba    0.25      0.577117  0.398453         0
  3  Ba    0.25      0.922883  0.898453         0
  4  Dy    0.25      0.399687  0.074436         0
  5  Dy    0.75      0.618323  0.208042         0
  6  Dy    0.75      0.881677  0.708042         0
  7  Dy    0.25      0.118323  0.291958         0
  8  Dy    0.75      0.600313  0.925564         0
  9  Dy    0.75      0.899687  0.425564         0
 10  Dy    0.25      0.100313  0.574436         0
 11  Dy    0.25      0.381677  0.791958         0
 12  Zn    0.25      0.808427  0.149876         0
 13  Zn    0.75      0.191573  0.850124         0
 14  Zn    0.75      0.308427  0.350124         0
 15  Zn    0.25      0.691573  0.649876         0
 16  O     0.25      0.42493   0.600313        -0
 17  O     0.75      0.57507   0.399687        -0
 18  O     0.75      0.92493   0.899687        -0
 19  O     0.25      0.07507   0.100313        -0
 20  O     0.000422  0.858017  0.275329        -0
 21  O     0.500422  0.141983  0.724671        -0
 22  O     0.999578  0.358017  0.224671        -0
 23  O     0.499578  0.641983  0.775329        -0
 24  O     0.999578  0.141983  0.724671        -0
 25  O     0.499578  0.858017  0.275329        -0
 26  O     0.000422  0.641983  0.775329        -0
 27  O     0.500422  0.358017  0.224671        -0
 28  O     0.49842   0.662944  0.066148        -0
 29  O     0.99842   0.337056  0.933852        -0
 30  O     0.50158   0.162944  0.433852        -0
 31  O     0.00158   0.837056  0.566148        -0
 32  O     0.99842   0.162944  0.433852        -0
 33  O     0.49842   0.837056  0.566148        -0
 34  O     0.00158   0.662944  0.066148        -0
 35  O     0.50158   0.337056  0.933852        -0",2
