cif_id,chgnet_total_magmom_muB,chgnet_site_magmoms_muB
mp-1271142,6.430315375328064,"[1.6091394424438477, 1.6061716079711914, 1.606017827987671, 1.608986496925354]"
mp-1183710,6.111431121826172,"[1.5270652770996094, 1.5285797119140625, 1.527205467224121, 1.528580665588379]"
mp-102,1.5937696695327759,[1.5937696695327759]
mp-2647057,1.9846904277801514,[1.9846904277801514]
mp-949,3.3958161622285843,"[1.624728798866272, 1.6247289180755615, 0.07317925989627838, 0.07317918539047241]"
mp-601820,9.151300191879272,"[2.4210000038146973, 2.6661956310272217, 2.6661741733551025, 1.397930383682251]"
mp-1271121,6.647533476352692,"[2.9756064414978027, 2.973626136779785, 0.11522543430328369, 0.11548876762390137, 0.11690926551818848, 0.11693620681762695, 0.11685103178024292, 0.11689019203186035]"
mp-1147746,0.18288283050060272,"[0.08060050010681152, 0.08060061931610107, 0.010840773582458496, 0.010840937495231628]"
mp-555908,5.758944571018219,"[2.701444625854492, 2.701442241668701, 0.08901458978652954, 0.0890142023563385, 0.0890144407749176, 0.08901447057723999]"
mp-1183423,0.04109036922454834,"[0.011221349239349365, 0.01122128963470459, 0.017373979091644287, 0.0012737512588500977]"
mp-971948,0.39108192920684814,"[0.003494858741760254, 0.0034949779510498047, 0.0027086734771728516, 0.38138341903686523]"
mp-1397055,4.286027431488037,"[1.8197070360183716, 1.8218024969100952, 0.08056056499481201, 0.08056533336639404, 0.08046466112136841, 0.08065450191497803, 0.08047223091125488, 0.08065706491470337, 0.08057200908660889, 0.08057153224945068]"
mp-1281832,2.2263003289699554,"[1.0143672227859497, 1.0130774974822998, 0.04975390434265137, 0.04967567324638367, 0.04967638850212097, 0.04974964261054993]"
mp-1359404,17.120672523975372,"[1.1322380304336548, 1.055422067642212, 1.1346991062164307, 1.1322375535964966, 1.0554215908050537, 1.1322373151779175, 1.0972963571548462, 1.0554301738739014, 1.0670301914215088, 1.0670251846313477, 1.067030429840088, 2.9722676277160645, 0.14896252751350403, 0.1489621102809906, 0.06807759404182434, 0.148963063955307, 0.06425854563713074, 0.06391158699989319, 0.11806496977806091, 0.06391185522079468, 0.06425845623016357, 0.06320962309837341, 0.06425845623016357, 0.06391194462776184, 0.05445516109466553, 0.05931803584098816, 0.061997413635253906, 0.059317439794540405, 0.034555584192276, 0.05445489287376404, 0.05445528030395508, 0.05931824445724487, 0.1899254322052002, 0.18992748856544495, 0.06393605470657349, 0.18992513418197632]"
mp-1120788,2.482831969857216,"[2.480792999267578, 0.0010238289833068848, 0.0010151416063308716]"
mp-30033,2.3067833185195923,"[2.297980546951294, 0.004401415586471558, 0.004401355981826782]"
mp-569610,1.5339150726795197,"[1.4839894771575928, 0.02496287226676941, 0.02496272325515747]"
mp-1218179,2.1343951523303986,"[0.0022583305835723877, 0.0066148340702056885, 0.006614744663238525, 0.002258092164993286, 0.01888027787208557, 0.021187126636505127, 0.021187186241149902, 0.01888015866279602, 0.015797972679138184, 0.017987221479415894, 0.017987102270126343, 0.01579800248146057, 0.024799734354019165, 0.09148788452148438, 0.14872747659683228, 0.09145653247833252, 0.14874112606048584, 0.09158945083618164, 0.14844655990600586, 0.14872747659683228, 0.09148740768432617, 0.148739755153656, 0.09145641326904297, 0.1484452486038208, 0.09159111976623535, 0.5032479166984558]"
mp-1226001,1.8460462540388107,"[1.7880308628082275, 0.05801539123058319]"
mp-1226076,1.6632357835769653,"[1.591508150100708, 0.07172763347625732]"
mp-1225998,1.7011135667562485,"[1.6428592205047607, 0.05825434625148773]"
mp-1226027,1.6041311621665955,"[1.5426697731018066, 0.06146138906478882]"
mp-1226089,1.698705069720745,"[1.6103942394256592, 0.042786598205566406, 0.0027375444769859314, 0.04278668761253357]"
mp-1226026,1.9897012561559677,"[1.923234462738037, 0.0664667934179306]"
mp-23240,2.4715512096881866,"[2.4678854942321777, 0.001832917332649231, 0.0018327981233596802]"
mp-865373,0.7588834762573242,"[0.012346446514129639, 0.012346267700195312, 0.36709558963775635, 0.3670951724052429]"
mp-559473,5.9976837038993835,"[2.7895700931549072, 2.6667699813842773, 0.09035593271255493, 0.0890122652053833, 0.09130364656448364, 0.09035569429397583, 0.08901238441467285, 0.09130370616912842]"
mp-755508,9.97252431511879,"[1.1302400827407837, 1.106281042098999, 1.130243182182312, 1.1302433013916016, 1.1302433013916016, 1.1062813997268677, 1.1302433013916016, 1.1302403211593628, 0.06001874804496765, 0.0666549801826477, 0.052154362201690674, 0.057077109813690186, 0.057077765464782715, 0.060018450021743774, 0.06665527820587158, 0.06665605306625366, 0.06001836061477661, 0.06001859903335571, 0.06665617227554321, 0.06665527820587158, 0.05215442180633545, 0.060018718242645264, 0.06665509939193726, 0.06001898646354675]"
